v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
30,78,78,34.6,9.2,17.7,1.8,5,7.5,12.8,0.571,5.7,6.5,0.4,5.9,5.9,0.7,1.1,2.9,2,26,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,8.6,2.9,11.5,0.204,5.4,0.1,5.5,5.1,17.4583199
34,55,55,35.2,10.1,19.9,2,5.9,8.1,14,0.56,5.1,7.6,1,7.4,8.3,1.3,0.6,3.6,1.7,27.4,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,4.7,2.6,7.2,0.179,6.4,1.7,8,4.9,17.43816629
32,65,65,34,4.7,11.4,2.4,7,2.3,4.4,0.518,2.5,3,0.6,4.2,8.7,1.4,0.5,2.8,2.6,14.2,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2,1.2,18.1,19.6,3.6,3,6.6,0.144,1.7,0.6,2.3,2.4,17.37075279
29,75,75,35,8.3,17.9,2.5,7,5.7,10.9,0.532,5.5,7.3,1.3,6.2,5.4,0.7,0.4,3.4,2.7,24.5,21,0.581,0.389,0.41,4,20.1,11.8,27.1,1,0.9,13.8,30.2,5.1,2.9,8,0.147,4.9,0.2,5.1,4.7,17.35501851
29,65,65,33.6,6.4,13.9,1,3,5.4,10.9,0.499,4.8,5.6,1.9,3.4,4,1.9,0.6,1.5,1.7,18.7,20.2,0.571,0.213,0.404,6,10.5,8.3,18,2.7,1.4,8.2,22.3,5.4,2.5,7.9,0.173,2.8,0.9,3.7,3.2,17.30416922
27,60,60,34,9.3,18.8,1.9,5,7.5,13.8,0.546,6.1,7.1,1.3,6,3.3,1.8,0.4,2,1.5,26.6,25.8,0.606,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1,8.4,30.3,6.1,3.4,9.5,0.224,6.1,1.1,7.2,4.7,17.30416922
28,82,82,34.9,8.9,20.5,3.2,8.9,5.7,11.6,0.511,4.6,5.5,0.6,3.8,5.9,1.2,0.4,2.6,1.6,25.6,21.7,0.558,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1,10.1,31.5,5.5,1.9,7.4,0.123,5.2,-1,4.2,4.4,17.30416922
28,78,78,34,8.4,18,3.1,7.7,5.3,10.3,0.553,1.7,2,0.5,3.4,2.4,1.1,0.6,1.5,2,21.5,16.6,0.571,0.427,0.113,1.6,10.1,6,10.5,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.1,-1.4,-0.3,1.2,17.30416922
26,82,82,34.7,7.5,15.3,1.9,4.8,5.5,10.5,0.549,3.2,3.7,0.8,7,2.8,0.6,0.5,1.8,2.2,20,17.2,0.592,0.313,0.245,2.6,20.8,12,12.5,0.8,1,9.8,22.8,4.5,2.6,7.1,0.12,2.1,-0.5,1.6,2.6,17.30416922
28,72,18,25.9,4.1,8.8,1.1,3.2,3,5.6,0.527,2.2,2.6,0.7,3.8,3.4,0.9,0.3,1.5,1.4,11.5,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19,2.6,2.3,4.9,0.126,0.4,0.4,0.8,1.3,17.30290674
